iNode,nodeLabel,Network,Subnetwork,xMNI,yMNI,zMNI
335,17Networks_RH_ContA_Cinga_1,Control,Control A,4,2,30
336,17Networks_RH_ContB_Temp_1,Control,Control B,62,-28,-20
337,17Networks_RH_ContB_Temp_2,Control,Control B,64,-42,-10
338,17Networks_RH_ContB_IPL_1,Control,Control B,56,-46,32
339,17Networks_RH_ContB_IPL_2,Control,Control B,54,-52,44
340,17Networks_RH_ContB_IPL_3,Control,Control B,56,-40,48
341,17Networks_RH_ContB_IPL_4,Control,Control B,42,-56,48
342,17Networks_RH_ContB_PFCld_1,Control,Control B,38,34,38
343,17Networks_RH_ContB_PFCld_2,Control,Control B,44,18,44
344,17Networks_RH_ContB_PFCld_3,Control,Control B,42,6,50
345,17Networks_RH_ContB_PFCld_4,Control,Control B,34,16,56
346,17Networks_RH_ContB_PFClv_1,Control,Control B,36,38,-14
347,17Networks_RH_ContB_PFClv_2,Control,Control B,28,54,-14
348,17Networks_RH_ContB_PFClv_3,Control,Control B,42,50,-6
349,17Networks_RH_ContB_PFClv_4,Control,Control B,28,60,2
350,17Networks_RH_ContB_PFCmp_1,Control,Control B,4,28,48
351,17Networks_RH_ContC_pCun_1,Control,Control C,16,-64,28
352,17Networks_RH_ContC_pCun_2,Control,Control C,14,-72,40
353,17Networks_RH_ContC_pCun_3,Control,Control C,6,-64,44
354,17Networks_RH_ContC_pCun_4,Control,Control C,8,-50,44
355,17Networks_RH_ContC_pCun_5,Control,Control C,8,-72,52
356,17Networks_RH_ContC_Cingp_1,Control,Control C,8,-44,20
357,17Networks_RH_ContC_Cingp_2,Control,Control C,6,-28,28
358,17Networks_RH_DefaultA_Temp_1,DMN,DMN A,60,-8,-24
359,17Networks_RH_DefaultA_IPL_1,DMN,DMN A,54,-54,26
360,17Networks_RH_DefaultA_IPL_2,DMN,DMN A,48,-64,42
361,17Networks_RH_DefaultA_PFCd_1,DMN,DMN A,26,34,38
362,17Networks_RH_DefaultA_PFCd_2,DMN,DMN A,24,26,50
363,17Networks_RH_DefaultA_PCC_1,DMN,DMN A,6,-52,24
364,17Networks_RH_DefaultA_PCC_2,DMN,DMN A,4,-64,32
365,17Networks_RH_DefaultA_PCC_3,DMN,DMN A,6,-38,34
366,17Networks_RH_DefaultA_PCC_4,DMN,DMN A,4,-20,36
367,17Networks_RH_DefaultA_PCC_5,DMN,DMN A,10,-52,36
368,17Networks_RH_DefaultA_PFCm_1,DMN,DMN A,6,42,-10
369,17Networks_RH_DefaultA_PFCm_2,DMN,DMN A,10,66,0
370,17Networks_RH_DefaultA_PFCm_3,DMN,DMN A,8,42,4
371,17Networks_RH_DefaultA_PFCm_4,DMN,DMN A,8,54,12
372,17Networks_RH_DefaultA_PFCm_5,DMN,DMN A,18,64,16
373,17Networks_RH_DefaultA_PFCm_6,DMN,DMN A,6,26,18
374,17Networks_RH_DefaultB_Temp_1,DMN,DMN B,64,-24,-8
375,17Networks_RH_DefaultB_Temp_2,DMN,DMN B,64,-38,0
376,17Networks_RH_DefaultB_AntTemp_1,DMN,DMN B,50,8,-32
377,17Networks_RH_DefaultB_PFCd_1,DMN,DMN B,6,58,30
378,17Networks_RH_DefaultB_PFCd_2,DMN,DMN B,16,52,36
379,17Networks_RH_DefaultB_PFCd_3,DMN,DMN B,4,44,40
380,17Networks_RH_DefaultB_PFCd_4,DMN,DMN B,14,38,52
381,17Networks_RH_DefaultB_PFCd_5,DMN,DMN B,12,20,62
382,17Networks_RH_DefaultB_PFCv_1,DMN,DMN B,34,22,-18
383,17Networks_RH_DefaultB_PFCv_2,DMN,DMN B,48,32,-8
384,17Networks_RH_DefaultB_PFCv_3,DMN,DMN B,54,24,6
385,17Networks_RH_DefaultC_IPL_1,DMN,DMN C,48,-64,22
386,17Networks_RH_DefaultC_IPL_2,DMN,DMN C,46,-76,30
387,17Networks_RH_DefaultC_Rsp_1,DMN,DMN C,14,-46,4
388,17Networks_RH_DefaultC_Rsp_2,DMN,DMN C,12,-56,16
389,17Networks_RH_DefaultC_PHC_1,DMN,DMN C,22,-18,-28
390,17Networks_RH_DefaultC_PHC_2,DMN,DMN C,30,-30,-18
391,17Networks_RH_TempPar_1,TempPar,TempPar,48,16,-20
392,17Networks_RH_TempPar_2,TempPar,TempPar,54,-4,-14
393,17Networks_RH_TempPar_3,TempPar,TempPar,48,-20,-8
394,17Networks_RH_TempPar_4,TempPar,TempPar,62,-18,0
395,17Networks_RH_TempPar_5,TempPar,TempPar,50,-34,2
396,17Networks_RH_TempPar_6,TempPar,TempPar,60,-46,6
397,17Networks_RH_TempPar_7,TempPar,TempPar,52,-40,12
398,17Networks_RH_TempPar_8,TempPar,TempPar,64,-34,10
399,17Networks_RH_TempPar_9,TempPar,TempPar,54,-46,20
400,17Networks_RH_TempPar_10,TempPar,TempPar,62,-40,22
401,Thalamus_LH,Subcort,Subcort,-12,-24,6
402,Caudate_LH,Subcort,Subcort,-12,16,4
403,Putamen_LH,Subcort,Subcort,-22,8,-4
404,Pallidum_LH,Subcort,Subcort,-18,-2,-2
405,Brainstem,Subcort,Subcort,2,-28,-36
406,Hippocampus_LH,Subcort,Subcort,-28,-18,-18
407,Amygdala_LH,Subcort,Subcort,-24,-4,-18
408,Accumbens_LH,Subcort,Subcort,-10,14,-6
409,Thalamus_RH,Subcort,Subcort,14,-24,6
410,Caudate_RH,Subcort,Subcort,12,18,2
411,Putamen_RH,Subcort,Subcort,22,10,-4
412,Pallidum_RH,Subcort,Subcort,20,-4,-2
413,Hippocampus_RH,Subcort,Subcort,28,-12,-22
414,Amygdala_RH,Subcort,Subcort,26,0,-22
415,Accumbens_RH,Subcort,Subcort,10,12,-8
